Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
Exhaustive Search,1,3-4-3-1-5-2-5-3-3-2-,123,3,5,78,17,12,212,100,3,3,3.00,11,0,0.31ns,-,-,-,-,5,-,-
Exhaustive Search,1,3-4-3-4-5-2-5-0-4-4-,416,4,17,228,83,48,735,331,4,4,4.00,40,0,0.47ns,-,-,-,-,10,-,-
Exhaustive Search,1,3-4-0-2-5-0-4-0-3-4-,286,5,13,156,59,29,517,235,5,5,5.00,29,0,0.47ns,-,-,-,-,15,-,-
Exhaustive Search,1,3-3-3-1-5-2-5-0-0-4-,429,3,28,234,82,45,749,342,3,3,3.00,40,0,0.6225ns,-,-,-,-,26,-,-
Exhaustive Search,1,3-2-5-1-2-2-5-0-3-4-,230,4,19,120,42,23,426,195,4,4,4.00,26,0,0.47ns,-,-,-,-,13,-,-
Exhaustive Search,1,3-3-3-5-4-2-5-0-3-5-,207,3,4,120,37,22,363,172,3,3,3.00,24,0,0.34ns,-,-,-,-,6,-,-
Exhaustive Search,1,3-4-3-1-5-2-5-0-3-4-,123,3,5,78,17,12,212,100,3,3,3.00,11,0,0.31ns,-,-,-,-,5,-,-
Exhaustive Search,1,4-2-4-5-5-5-5-0-3-4-,319,5,7,180,66,32,573,294,5,4,4.50,34,0,0.34ns,-,-,-,-,11,-,-
Exhaustive Search,1,3-0-3-1-5-3-5-3-0-4-,451,5,31,240,92,45,818,376,5,5,5.00,43,0,0.6225ns,-,-,-,-,31,-,-
Exhaustive Search,1,3-4-3-1-5-2-3-0-4-4-,324,3,13,180,66,36,567,252,3,3,3.00,29,0,0.47ns,-,-,-,-,8,-,-
Exhaustive Search,1,5-3-2-1-5-2-5-0-3-1-,216,3,16,120,36,23,389,175,3,3,3.00,21,0,0.47ns,-,-,-,-,9,-,-
Exhaustive Search,1,3-4-0-0-5-2-5-0-3-4-,238,5,17,132,43,23,436,202,5,5,5.00,23,0,0.47ns,-,-,-,-,12,-,-
Exhaustive Search,1,3-4-3-1-5-2-5-1-3-4-,123,3,5,78,17,12,212,100,3,3,3.00,11,0,0.31ns,-,-,-,-,5,-,-
Exhaustive Search,1,3-4-3-1-5-2-5-4-3-4-,123,3,5,78,17,12,212,100,3,3,3.00,11,0,0.31ns,-,-,-,-,5,-,-
Exhaustive Search,1,3-4-3-1-5-1-5-6-3-5-,123,3,5,78,17,12,212,100,3,3,3.00,11,0,0.31ns,-,-,-,-,5,-,-
Exhaustive Search,1,3-4-3-0-5-0-5-3-4-4-,416,4,17,228,83,48,735,331,4,4,4.00,40,0,0.47ns,-,-,-,-,10,-,-
Exhaustive Search,1,3-4-3-1-5-2-0-2-4-4-,491,5,31,258,104,54,886,401,5,5,5.00,44,0,0.53ns,-,-,-,-,19,-,-
Exhaustive Search,1,3-4-5-1-5-2-5-3-5-1-,289,4,5,174,44,36,479,230,4,4,4.00,30,0,0.31ns,-,-,-,-,7,-,-
Exhaustive Search,1,3-4-3-0-5-2-0-0-3-4-,194,3,19,108,33,18,337,156,3,3,3.00,16,0,0.53ns,-,-,-,-,13,-,-
Exhaustive Search,1,3-4-3-5-5-5-5-0-3-4-,123,3,5,78,17,12,212,100,3,3,3.00,11,0,0.31ns,-,-,-,-,5,-,-
Exhaustive Search,1,3-4-3-1-5-2-5-6-4-4-,416,4,17,228,83,48,735,331,4,4,4.00,40,0,0.47ns,-,-,-,-,10,-,-
Exhaustive Search,1,3-3-2-1-5-2-4-0-0-4-,574,4,36,300,121,62,1023,460,4,4,4.00,55,0,0.6225ns,-,-,-,-,35,-,-
Exhaustive Search,1,5-4-3-1-3-2-5-2-3-4-,126,3,9,72,19,12,233,109,3,3,3.00,14,0,0.31ns,-,-,-,-,5,-,-
Exhaustive Search,1,0-0-3-1-5-2-5-3-2-0-,833,7,131,468,115,56,1322,639,7,7,7.00,63,0,0.82ns,-,-,-,-,38,-,-
Exhaustive Search,1,3-4-2-4-5-2-5-6-3-4-,227,4,17,126,39,23,408,186,4,4,4.00,22,0,0.47ns,-,-,-,-,11,-,-
Exhaustive Search,1,3-3-3-1-5-2-5-4-3-2-,103,2,4,66,13,12,177,80,2,2,2.00,8,0,0.31ns,-,-,-,-,3,-,-
Exhaustive Search,1,5-4-3-1-5-2-2-0-3-4-,196,3,23,102,35,18,356,160,3,3,3.00,18,0,0.53ns,-,-,-,-,13,-,-
Exhaustive Search,1,3-2-3-1-5-2-5-1-3-2-,124,3,7,72,19,12,228,106,3,3,3.00,14,0,0.31ns,-,-,-,-,7,-,-
Exhaustive Search,1,3-3-5-1-5-2-5-0-3-0-,103,2,4,66,13,12,177,80,2,2,2.00,8,0,0.31ns,-,-,-,-,3,-,-
Exhaustive Search,1,3-4-5-4-5-4-5-0-4-4-,416,4,17,228,83,48,735,331,4,4,4.00,40,0,0.47ns,-,-,-,-,10,-,-
Exhaustive Search,1,3-4-0-1-5-2-5-0-3-4-,238,5,17,132,43,23,436,202,5,5,5.00,23,0,0.47ns,-,-,-,-,12,-,-
Exhaustive Search,1,3-2-3-4-5-2-0-0-3-0-,195,3,21,102,35,18,353,158,3,3,3.00,19,0,0.53ns,-,-,-,-,15,-,-
Exhaustive Search,1,3-3-3-1-5-1-5-3-2-4-,698,3,116,408,80,45,1040,489,3,3,3.00,49,0,0.69ns,-,-,-,-,26,-,-
Exhaustive Search,1,3-4-3-1-5-4-5-0-3-4-,123,3,5,78,17,12,212,100,3,3,3.00,11,0,0.31ns,-,-,-,-,5,-,-
Exhaustive Search,1,3-4-3-4-5-2-5-3-2-4-,709,4,117,414,83,45,1059,500,4,4,4.00,50,0,0.74ns,-,-,-,-,28,-,-
Exhaustive Search,1,3-3-0-1-4-5-5-6-3-5-,323,5,16,174,64,33,591,278,5,5,5.00,36,0,0.47ns,-,-,-,-,13,-,-
Exhaustive Search,1,0-3-5-2-2-4-0-1-0-5-,692,7,54,348,149,73,1281,607,7,7,7.00,68,0,0.6225ns,-,-,-,-,48,-,-
Exhaustive Search,1,0-3-5-2-2-4-0-3-0-5-,692,7,54,348,149,73,1281,607,7,7,7.00,68,0,0.6225ns,-,-,-,-,48,-,-
Exhaustive Search,1,0-3-5-2-2-0-3-1-0-5-,539,5,36,282,114,55,974,465,5,5,5.00,52,0,0.6225ns,-,-,-,-,37,-,-
Exhaustive Search,1,0-3-5-4-2-0-3-4-3-5-,220,4,12,120,43,22,397,201,4,4,4.00,23,0,0.47ns,-,-,-,-,14,-,-
Exhaustive Search,1,0-3-5-2-2-0-3-4-3-5-,220,4,12,120,43,22,397,201,4,4,4.00,23,0,0.47ns,-,-,-,-,14,-,-
Exhaustive Search,1,0-3-5-4-2-0-5-1-3-5-,318,5,16,174,61,34,585,287,5,5,5.00,33,0,0.47ns,-,-,-,-,16,-,-
Exhaustive Search,1,5-3-5-4-2-3-3-4-3-4-,116,2,12,66,19,11,205,90,2,2,2.00,8,0,0.47ns,-,-,-,-,7,-,-
Exhaustive Search,1,0-3-0-4-0-0-3-4-3-5-,287,3,12,162,54,33,505,245,3,3,3.00,26,0,0.47ns,-,-,-,-,8,-,-
Exhaustive Search,1,5-3-5-4-2-3-2-4-3-5-,282,3,30,144,53,29,514,230,3,3,3.00,26,0,0.53ns,-,-,-,-,17,-,-
Exhaustive Search,1,5-3-2-1-2-0-3-4-3-5-,192,2,12,108,35,22,335,147,2,2,2.00,15,0,0.47ns,-,-,-,-,7,-,-
Exhaustive Search,1,5-2-5-1-2-0-3-4-3-5-,137,3,15,72,25,11,256,114,3,3,3.00,14,0,0.47ns,-,-,-,-,11,-,-
Exhaustive Search,1,5-2-2-4-4-0-3-4-3-5-,237,4,19,120,50,21,448,206,4,4,4.00,27,0,0.47ns,-,-,-,-,14,-,-
Exhaustive Search,1,5-3-5-4-2-5-3-4-2-2-,711,3,124,408,86,44,1068,499,3,3,3.00,49,0,0.69ns,-,-,-,-,30,-,-
Exhaustive Search,1,5-3-5-4-2-3-3-4-3-5-,116,2,12,66,19,11,205,90,2,2,2.00,8,0,0.47ns,-,-,-,-,7,-,-
Exhaustive Search,1,5-3-5-4-2-3-5-4-3-1-,216,3,16,120,36,23,389,175,3,3,3.00,21,0,0.47ns,-,-,-,-,9,-,-
Exhaustive Search,1,3-2-5-1-2-5-3-4-3-1-,137,3,15,72,25,11,256,114,3,3,3.00,14,0,0.47ns,-,-,-,-,11,-,-
Exhaustive Search,1,4-3-5-4-2-3-3-4-5-5-,411,5,16,228,78,45,729,365,5,4,4.50,44,0,0.47ns,-,-,-,-,13,-,-
Exhaustive Search,1,5-3-2-1-2-0-3-0-3-5-,192,2,12,108,35,22,335,147,2,2,2.00,15,0,0.47ns,-,-,-,-,7,-,-
Exhaustive Search,1,5-3-5-2-2-0-0-4-0-5-,598,5,54,300,126,62,1095,496,5,5,5.00,56,0,0.6225ns,-,-,-,-,41,-,-
Exhaustive Search,1,5-3-5-1-2-2-3-4-3-5-,116,2,12,66,19,11,205,90,2,2,2.00,8,0,0.47ns,-,-,-,-,7,-,-
Exhaustive Search,1,5-3-5-0-4-3-3-2-2-5-,705,3,116,408,88,43,1061,500,3,3,3.00,50,0,0.69ns,-,-,-,-,27,-,-
Exhaustive Search,1,5-3-3-4-2-5-3-4-3-5-,116,2,12,66,19,11,205,90,2,2,2.00,8,0,0.47ns,-,-,-,-,7,-,-
Exhaustive Search,1,5-3-5-4-2-4-3-4-4-5-,396,3,12,216,83,47,702,309,3,3,3.00,38,0,0.47ns,-,-,-,-,12,-,-
Exhaustive Search,1,4-3-4-4-2-3-3-4-3-5-,318,4,16,174,67,31,572,287,4,3,3.50,30,0,0.47ns,-,-,-,-,11,-,-
Exhaustive Search,1,2-4-5-4-2-0-3-3-5-5-,413,5,17,234,77,45,726,360,5,4,4.50,40,0,0.47ns,-,-,-,-,12,-,-
Exhaustive Search,1,5-3-5-4-2-0-3-4-3-5-,116,2,12,66,19,11,205,90,2,2,2.00,8,0,0.47ns,-,-,-,-,7,-,-
Exhaustive Search,1,5-3-0-1-2-0-4-4-0-5-,666,6,36,348,142,73,1207,545,6,6,6.00,67,0,0.6225ns,-,-,-,-,42,-,-
Exhaustive Search,1,5-2-5-4-2-0-3-6-4-3-,408,4,15,216,89,47,733,323,4,4,4.00,41,0,0.47ns,-,-,-,-,16,-,-
Exhaustive Search,1,5-2-5-3-2-0-4-4-3-5-,275,4,15,144,58,29,498,221,4,4,4.00,29,0,0.47ns,-,-,-,-,16,-,-
Exhaustive Search,1,5-2-5-4-2-0-3-4-3-1-,137,3,15,72,25,11,256,114,3,3,3.00,14,0,0.47ns,-,-,-,-,11,-,-
Exhaustive Search,1,5-3-5-4-2-2-3-4-3-5-,116,2,12,66,19,11,205,90,2,2,2.00,8,0,0.47ns,-,-,-,-,7,-,-
Exhaustive Search,1,4-4-5-4-2-0-3-4-3-5-,254,5,17,138,55,21,477,245,5,4,4.50,23,0,0.47ns,-,-,-,-,13,-,-
Exhaustive Search,1,4-3-5-1-2-0-3-0-3-3-,234,4,16,126,49,21,432,221,4,3,3.50,22,0,0.47ns,-,-,-,-,11,-,-
Exhaustive Search,1,0-2-4-5-2-0-3-3-3-5-,337,6,19,174,73,32,644,317,6,6,6.00,39,0,0.47ns,-,-,-,-,21,-,-
Exhaustive Search,1,5-3-5-3-2-0-4-4-3-5-,263,3,12,144,52,29,467,207,3,3,3.00,26,0,0.47ns,-,-,-,-,12,-,-
Exhaustive Search,1,5-0-5-2-2-0-3-4-0-5-,466,5,46,234,99,44,860,392,5,5,5.00,43,0,0.6225ns,-,-,-,-,35,-,-
Exhaustive Search,1,0-3-0-1-2-0-2-4-3-5-,461,5,30,240,95,51,841,403,5,5,5.00,45,0,0.53ns,-,-,-,-,24,-,-
Exhaustive Search,1,5-3-0-5-2-0-3-4-3-1-,212,4,12,114,41,22,383,175,4,4,4.00,23,0,0.47ns,-,-,-,-,14,-,-
Exhaustive Search,1,0-2-3-4-2-3-3-4-3-2-,239,5,15,126,50,22,452,226,5,5,5.00,26,0,0.47ns,-,-,-,-,18,-,-
Exhaustive Search,1,5-4-5-4-2-1-2-6-3-1-,297,4,35,144,59,29,556,251,4,4,4.00,30,0,0.53ns,-,-,-,-,19,-,-
Exhaustive Search,1,5-3-5-4-2-2-0-1-2-5-,880,5,142,486,123,62,1392,647,5,5,5.00,67,0,0.78ns,-,-,-,-,41,-,-
Exhaustive Search,1,4-4-2-4-3-0-3-4-3-4-,254,5,17,138,55,21,477,245,5,4,4.50,23,0,0.47ns,-,-,-,-,13,-,-
Exhaustive Search,1,5-3-5-4-2-0-3-4-0-0-,437,3,36,228,89,44,778,353,3,3,3.00,40,0,0.6225ns,-,-,-,-,30,-,-
Exhaustive Search,1,5-3-5-4-4-0-3-4-3-5-,110,2,4,66,21,10,198,91,2,2,2.00,9,0,0.34ns,-,-,-,-,4,-,-
Exhaustive Search,1,4-3-3-4-2-0-3-4-4-5-,513,5,16,276,114,57,928,438,5,4,4.50,50,0,0.47ns,-,-,-,-,16,-,-
Exhaustive Search,1,0-3-5-4-4-0-3-4-3-4-,235,4,16,126,49,21,434,222,4,4,4.00,23,0,0.47ns,-,-,-,-,11,-,-
Exhaustive Search,1,0-3-5-0-2-3-3-5-3-5-,220,4,12,120,43,22,397,201,4,4,4.00,23,0,0.47ns,-,-,-,-,14,-,-
Exhaustive Search,1,5-3-5-4-2-3-5-3-3-5-,216,3,16,120,36,23,389,175,3,3,3.00,21,0,0.47ns,-,-,-,-,9,-,-
Exhaustive Search,1,5-3-5-0-4-0-3-3-3-5-,110,2,4,66,21,10,198,91,2,2,2.00,9,0,0.34ns,-,-,-,-,4,-,-
Exhaustive Search,1,5-3-5-4-4-2-3-4-3-3-,110,2,4,66,21,10,198,91,2,2,2.00,9,0,0.34ns,-,-,-,-,4,-,-
Exhaustive Search,1,3-3-5-4-4-4-3-4-4-5-,411,3,16,222,87,46,736,328,3,3,3.00,40,0,0.47ns,-,-,-,-,9,-,-
Exhaustive Search,1,5-2-5-2-4-3-3-4-3-5-,130,3,7,72,27,10,246,116,3,3,3.00,14,0,0.34ns,-,-,-,-,8,-,-
