Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
Exhaustive Search,1,0-4-3-4-2-5-3-6-3-3-,246,5,13,132,53,21,456,237,5,5,5.00,27,0,0.47ns,-,-,-,-,16,-,-
Exhaustive Search,1,3-4-0-2-3-0-5-1-3-1-,238,5,17,132,43,23,436,202,5,5,5.00,23,0,0.47ns,-,-,-,-,12,-,-
Exhaustive Search,1,5-2-3-1-3-0-3-6-3-3-,22,2,3,18,1,0,41,16,2,2,2.00,0,0,0.14ns,-,-,-,-,5,-,-
Exhaustive Search,1,3-4-3-3-0-0-3-6-0-0-,458,5,37,240,96,44,824,379,5,5,5.00,41,0,0.6225ns,-,-,-,-,33,-,-
Exhaustive Search,1,3-4-3-0-3-0-3-2-5-2-,203,3,5,126,29,24,336,160,3,3,3.00,19,0,0.31ns,-,-,-,-,5,-,-
Exhaustive Search,1,3-4-4-2-3-0-4-4-3-3-,289,4,17,156,59,28,520,237,4,4,4.00,29,0,0.47ns,-,-,-,-,11,-,-
Exhaustive Search,1,5-4-3-0-3-3-3-4-3-2-,24,2,5,18,1,0,46,19,2,2,2.00,0,0,0.184ns,-,-,-,-,3,-,-
Exhaustive Search,1,3-4-4-0-2-3-3-4-3-2-,236,4,17,126,48,21,431,201,4,4,4.00,24,0,0.47ns,-,-,-,-,12,-,-
Exhaustive Search,1,3-4-5-0-3-0-0-1-3-2-,194,3,19,108,33,18,337,156,3,3,3.00,16,0,0.53ns,-,-,-,-,13,-,-
Exhaustive Search,1,3-4-5-3-3-3-2-6-3-1-,193,3,19,108,33,18,335,155,3,3,3.00,15,0,0.53ns,-,-,-,-,13,-,-
Exhaustive Search,1,2-2-3-2-3-0-3-4-5-2-,327,5,19,180,60,35,591,297,5,4,4.50,33,0,0.47ns,-,-,-,-,14,-,-
Exhaustive Search,1,3-4-5-0-3-3-3-4-3-0-,14,2,1,12,1,0,34,12,2,2,2.00,0,0,0.09ns,-,-,-,-,3,-,-
Exhaustive Search,1,3-4-3-5-3-4-3-4-3-2-,14,2,1,12,1,0,34,12,2,2,2.00,0,0,0.09ns,-,-,-,-,3,-,-
Exhaustive Search,1,4-4-3-3-5-5-3-4-0-2-,465,5,29,252,100,43,835,408,5,5,5.00,41,0,0.6225ns,-,-,-,-,30,-,-
Exhaustive Search,1,5-4-3-0-5-0-3-0-4-2-,326,3,17,174,68,36,585,259,3,3,3.00,31,0,0.47ns,-,-,-,-,8,-,-
Exhaustive Search,1,3-4-5-0-3-2-3-4-3-5-,14,2,1,12,1,0,34,12,2,2,2.00,0,0,0.09ns,-,-,-,-,3,-,-
Exhaustive Search,1,0-4-5-0-3-3-3-4-3-2-,155,4,13,84,32,10,285,158,4,4,4.00,16,0,0.43ns,-,-,-,-,10,-,-
